0,100,0
1,100,0
2,100,0
3,100,0
4,100,4.74476e-39
5,100,1.86752e-33
6,100,4.58745e-29
7,100,1.83726e-25
8,100,1.96563e-22
9,100,7.67488e-20
10,100,1.35244e-17
11,100,1.25132e-15
12,100,6.79714e-14
13,100,2.35958e-12
14,100,5.59177e-11
15,100,9.53255e-10
16,100,1.21947e-08
17,100,1.21191e-07
18,100,9.62904e-07
19,100,6.2658e-06
20,100,3.40815e-05
21,99.9869,0.0130709
22,99.8282,0.158709
23,99.1219,0.706321
24,97.2371,1.88472
25,93.562,3.67512
26,87.7742,5.7878
27,79.9735,7.80068
28,70.6393,9.33423
29,60.4736,10.1657
30,50.2179,10.2557
31,40.5082,9.70967
32,31.7958,8.71243
33,24.3295,7.46632
34,18.1811,6.14833
35,13.292,4.88917
36,9.52234,3.76964
37,6.69476,2.82758
38,4.62552,2.06924
39,3.14458,1.48093
40,2.10591,1.03868
41,1.39071,0.715196
42,0.906491,0.484217
43,0.583704,0.322788
44,0.371587,0.212117
45,0.234032,0.137555
46,0.145922,0.0881107
47,0.0901258,0.0557958
48,0.0551697,0.0349561
49,0.033488,0.0216816
